node1,node2,weight
39,45,0.55
45,39,0.6
4,39,0.55
2,39,0.9
1,39,0.9
21,39,0.6
7,39,0.75
17,39,0.55
45,4,0.75
6,32,0.55
39,1,0.9
39,7,0.65
39,21,0.6
39,2,0.9
39,17,0.65
39,44,0.55
39,4,0.55
23,32,0.55
1,32,0.55
4,19,0.8
17,4,0.55
32,23,0.55
1,23,0.8
19,23,0.75
2,23,0.75
7,23,0.7
17,23,0.55
32,1,0.55
4,45,0.8
32,6,0.55
36,21,0.6
7,21,0.75
2,21,0.75
10,21,0.9
1,21,0.8
13,16,0.9
1,33,0.85
1,6,0.9
1,41,0.9
4,2,0.8
4,26,0.55
4,31,0.55
4,17,0.65
1,29,0.7
1,9,0.6
4,6,0.75
4,7,0.85
4,13,0.9
4,41,0.55
29,13,0.6
