node1,node2,weight
250,60,0.65
60,250,0.65
224,60,0.75
257,250,0.75
245,250,0.55
60,217,0.6
60,218,0.55
60,199,0.55
60,209,0.65
60,112,0.7
60,194,0.55
60,164,0.75
60,108,0.55
60,88,0.6
255,60,0.55
251,60,0.75
60,228,0.55
60,224,0.7
60,41,0.55
60,208,0.65
60,87,0.55
60,202,0.65
60,178,0.6
104,60,0.65
250,245,0.55
441,60,0.55
2,60,0.75
60,198,0.55
60,223,0.85
60,312,0.7
60,29,0.6
60,191,0.7
88,60,0.7
60,75,0.65
60,159,0.6
60,21,0.55
60,1,0.85
60,7,0.85
60,56,0.6
7,365,0.55
214,202,0.55
29,60,0.6
342,214,0.6
443,214,0.6
432,214,0.55
394,214,0.75
216,214,0.55
202,214,0.55
60,214,0.6
135,214,0.55
359,60,0.65
202,361,0.55
202,280,0.6
202,353,0.65
202,363,0.65
202,358,0.65
202,230,0.55
202,132,0.6
202,64,0.55
198,60,0.6
214,221,0.55
214,216,0.55
214,432,0.55
214,60,0.65
214,443,0.6
214,394,0.75
214,342,0.6
100,60,0.6
202,104,0.65
202,236,0.55
202,292,0.55
202,237,0.55
202,377,0.55
202,56,0.55
266,60,0.75
104,202,0.65
1,202,0.55
441,202,0.55
7,202,0.7
2,202,0.6
240,202,0.6
361,202,0.55
204,202,0.6
299,60,0.65
242,60,0.8
202,278,0.65
202,289,0.6
202,33,0.55
202,100,0.55
202,322,0.55
202,288,0.55
202,251,0.6
212,60,0.7
257,214,0.75
206,202,0.65
224,144,0.55
266,350,0.6
266,222,0.55
266,233,0.6
266,436,0.55
266,77,0.6
266,149,0.55
266,7,0.7
33,202,0.55
100,202,0.55
288,202,0.55
304,202,0.55
135,202,0.6
230,202,0.6
64,202,0.55
224,171,0.55
224,257,0.7
221,214,0.55
224,198,0.55
236,402,0.55
236,152,0.55
236,202,0.55
353,202,0.65
1,159,0.6
1,225,0.55
1,7,0.95
1,101,0.55
1,21,0.8
1,145,0.55
1,74,0.55
1,353,0.75
414,60,0.75
221,215,0.6
221,269,0.55
221,171,0.55
221,202,0.7
221,272,0.55
221,206,0.55
221,64,0.55
108,60,0.55
77,60,0.7
322,35,0.55
322,7,0.7
322,304,0.55
322,379,0.55
322,310,0.0
322,202,0.55
322,329,0.55
208,60,0.65
280,202,0.6
202,235,0.8
35,65,0.55
35,104,0.65
35,33,0.65
35,380,0.55
35,186,0.6
35,6,0.6
35,387,0.55
35,436,0.55
202,211,0.55
202,286,0.55
286,202,0.55
427,202,0.7
212,202,0.55
56,202,0.55
256,202,0.8
202,256,0.8
104,153,0.6
104,64,0.75
104,418,0.6
104,41,0.55
104,149,0.55
104,190,0.55
104,88,0.65
104,189,0.6
202,310,0.55
320,443,0.6
198,443,0.6
280,443,0.6
356,202,0.55
60,212,0.7
135,342,0.45
13,342,0.6
393,342,0.55
257,342,0.7
304,342,0.65
395,342,1.0
60,264,0.7
60,265,0.7
1,33,0.85
325,33,0.55
51,33,0.55
7,33,0.6
57,33,0.55
215,33,0.55
110,2,0.55
21,2,0.75
4,2,0.8
146,2,0.55
156,2,0.55
202,2,0.7
10,2,0.85
39,2,0.9
60,340,0.55
443,280,0.6
443,198,0.6
443,410,0.0
443,320,0.6
60,160,0.55
212,7,0.55
212,132,0.55
212,209,0.55
212,29,0.55
35,70,0.55
35,79,0.55
35,1,0.55
35,251,0.55
35,353,0.55
35,56,0.6
35,69,0.55
60,104,0.6
60,172,0.55
4,202,0.9
60,100,0.6
342,13,0.7
54,13,0.6
425,13,0.65
2,13,0.55
353,13,0.8
270,13,0.55
160,13,0.6
17,13,0.6
60,269,0.55
257,413,0.75
257,431,0.7
257,224,0.75
257,320,0.65
257,273,0.8
257,373,0.7
257,277,0.75
257,266,0.75
257,268,0.8
257,242,0.75
257,104,0.75
172,60,0.55
60,244,0.7
215,441,0.55
215,249,0.55
215,202,0.8
215,353,0.6
215,378,0.55
215,288,0.55
215,198,0.6
60,77,0.7
41,202,0.6
75,60,0.65
171,224,0.55
144,224,0.55
198,224,0.55
285,60,0.55
41,60,0.55
78,60,0.55
218,60,0.55
243,60,0.8
199,60,0.55
194,60,0.55
1,60,0.9
276,60,0.65
436,216,0.55
295,216,0.65
340,60,0.8
280,29,0.55
280,35,0.55
280,281,0.55
280,160,0.65
280,387,0.55
280,7,0.7
377,386,0.55
301,202,0.7
211,202,0.55
237,202,1.0
447,202,0.75
363,202,0.7
292,202,0.55
202,204,0.6
202,7,0.75
202,4,0.85
202,240,0.6
202,176,0.55
202,301,0.7
37,301,0.55
437,301,0.55
64,301,0.55
301,37,0.55
301,437,0.55
301,64,0.55
